experiment_type,clustering_method,clustering_param,feature_extraction_method,similarity_threshold,num_clusters,num_pairs_to_compute,adjusted_rand_index,normalized_mutual_info,precision,recall,f1_score
clustering_only,kmeans_manual,3,tfidf,,3,0,0.3262834615286828,0.5601952803030792,0.3532084043157297,1.0,0.522031053294167
clustering + API,kmeans_manual,3,tfidf,0.7,13,1425,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,kmeans_manual,3,tfidf,0.8,14,1425,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,kmeans_manual,3,tfidf,0.9,16,1425,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,kmeans_manual,3,sentence_transformer,,3,0,0.6638862093478948,0.7430274785580031,0.5957854406130269,1.0,0.7466986794717888
clustering + API,kmeans_manual,3,sentence_transformer,0.7,13,1297,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,kmeans_manual,3,sentence_transformer,0.8,14,1297,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,kmeans_manual,3,sentence_transformer,0.9,16,1297,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,kmeans_manual,4,tfidf,,4,0,0.7010495339431454,0.7873216157443049,0.630192502532928,1.0,0.7731510254816656
clustering + API,kmeans_manual,4,tfidf,0.7,13,1404,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,kmeans_manual,4,tfidf,0.8,14,1404,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,kmeans_manual,4,tfidf,0.9,16,1404,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,kmeans_manual,4,sentence_transformer,,4,0,0.703063914335668,0.7878561187058531,0.6321138211382114,1.0,0.7745952677459527
clustering + API,kmeans_manual,4,sentence_transformer,0.7,13,1297,0.9994998748106353,0.9966769887161637,0.9991967871485944,1.0,0.9995982322217759
clustering + API,kmeans_manual,4,sentence_transformer,0.8,14,1297,1.0,1.0000000000000002,1.0,1.0,1.0
clustering + API,kmeans_manual,4,sentence_transformer,0.9,16,1297,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,kmeans_manual,5,tfidf,,5,0,0.6610556449073359,0.7656870586939369,0.6143687268885367,0.934887459807074,0.7414727446605037
clustering + API,kmeans_manual,5,tfidf,0.7,14,1323,0.9579561865894353,0.9739097402725126,0.9991408934707904,0.934887459807074,0.9659468438538206
clustering + API,kmeans_manual,5,tfidf,0.8,15,1323,0.9584559901027334,0.9772307775051178,1.0,0.934887459807074,0.966348151225592
clustering + API,kmeans_manual,5,tfidf,0.9,16,1323,0.9419967997150647,0.9671824031558967,1.0,0.909967845659164,0.9528619528619529
clustering_only,kmeans_manual,5,sentence_transformer,,5,0,0.8760132977416766,0.8836809920074725,0.8227513227513228,1.0,0.9027576197387518
