experiment_type,clustering_method,clustering_param,feature_extraction_method,similarity_threshold,num_clusters,num_pairs_to_compute,adjusted_rand_index,normalized_mutual_info,precision,recall,f1_score,true_positives,false_positives,false_negatives
clustering_only,kmeans_manual,3,tfidf,,3,0,0.011251010370927477,0.05060859615801704,0.20114660114660116,0.9871382636655949,0.3341951285889237,1228,4877,16
clustering + API,kmeans_manual,3,tfidf,0.7,15,1404,0.9914563854417368,0.9828899547608807,0.9991863303498779,0.9871382636655949,0.9931257581884351,1228,1,16
clustering + API,kmeans_manual,3,tfidf,0.8,17,1404,0.9500007819810709,0.964059552335597,1.0,0.9220257234726688,0.9594312003345881,1147,0,97
clustering + API,kmeans_manual,3,tfidf,0.9,17,1404,0.9500007819810709,0.964059552335597,1.0,0.9220257234726688,0.9594312003345881,1147,0,97
clustering_only,kmeans_manual,4,tfidf,,4,0,0.007563955289045692,0.06041938747421719,0.19966638865721434,0.9622186495176849,0.3307086614173228,1197,4798,47
clustering + API,kmeans_manual,4,tfidf,0.7,16,1368,0.975646614207168,0.972658394632751,0.9991652754590985,0.9622186495176849,0.9803439803439804,1197,1,47
clustering + API,kmeans_manual,4,tfidf,0.8,18,1368,0.9333756228268508,0.9542788633266651,1.0,0.8971061093247589,0.9457627118644067,1116,0,128
clustering + API,kmeans_manual,4,tfidf,0.9,18,1368,0.9333756228268508,0.9542788633266651,1.0,0.8971061093247589,0.9457627118644067,1116,0,128
clustering_only,kmeans_manual,5,tfidf,,5,0,0.034804899442323234,0.1715691322703392,0.2109622841029256,0.9622186495176849,0.3460537727666955,1197,4477,47
clustering + API,kmeans_manual,5,tfidf,0.7,16,1368,0.975646614207168,0.972658394632751,0.9991652754590985,0.9622186495176849,0.9803439803439804,1197,1,47
clustering + API,kmeans_manual,5,tfidf,0.8,18,1368,0.9333756228268508,0.9542788633266651,1.0,0.8971061093247589,0.9457627118644067,1116,0,128
clustering + API,kmeans_manual,5,tfidf,0.9,18,1368,0.9333756228268508,0.9542788633266651,1.0,0.8971061093247589,0.9457627118644067,1116,0,128
clustering_only,kmeans_manual,6,tfidf,,6,0,0.031758082000872934,0.1780571128757315,0.20977011494252873,0.9389067524115756,0.34292425132119786,1168,4400,76
clustering + API,kmeans_manual,6,tfidf,0.7,17,1339,0.9605811572404545,0.9627838849214361,0.9991445680068435,0.9389067524115756,0.9680895151263987,1168,1,76
clustering + API,kmeans_manual,6,tfidf,0.8,19,1339,0.9191788238353932,0.9450633457553724,1.0,0.8762057877813505,0.934018851756641,1090,0,154
clustering + API,kmeans_manual,6,tfidf,0.9,19,1339,0.9191788238353932,0.9450633457553724,1.0,0.8762057877813505,0.934018851756641,1090,0,154
clustering_only,kmeans_manual,7,tfidf,,7,0,0.028973913024188048,0.18445882642245173,0.2086765513454146,0.9163987138263665,0.33994334277620397,1140,4323,104
clustering + API,kmeans_manual,7,tfidf,0.7,18,1311,0.9457753688097545,0.9531832117847792,0.9991235758106923,0.9163987138263665,0.9559748427672955,1140,1,104
clustering + API,kmeans_manual,7,tfidf,0.8,20,1311,0.9180770180661301,0.9410062212991076,1.0,0.8745980707395499,0.9331046312178387,1088,0,156
clustering + API,kmeans_manual,7,tfidf,0.9,20,1311,0.9180770180661301,0.9410062212991076,1.0,0.8745980707395499,0.9331046312178387,1088,0,156
clustering_only,kmeans_auto,,tfidf,,3,0,0.011251010370927477,0.05060859615801704,0.20114660114660116,0.9871382636655949,0.3341951285889237,1228,4877,16
clustering + API,kmeans_auto,,tfidf,0.7,15,1404,0.9914563854417368,0.9828899547608807,0.9991863303498779,0.9871382636655949,0.9931257581884351,1228,1,16
clustering + API,kmeans_auto,,tfidf,0.8,17,1404,0.9500007819810709,0.964059552335597,1.0,0.9220257234726688,0.9594312003345881,1147,0,97
clustering + API,kmeans_auto,,tfidf,0.9,17,1404,0.9500007819810709,0.964059552335597,1.0,0.9220257234726688,0.9594312003345881,1147,0,97
clustering_only,hierarchical,0.8,tfidf,,74,0,0.1946190463666728,0.623594056522522,0.9761904761904762,0.13183279742765272,0.23229461756373937,164,4,1080
